Incident,Call Date,Call Time,Location,Nature,Disposition,Report Number,District
2022378960,12/31/22,23:00:52,VALLEYWOOD RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3B3
2022378908,12/31/22,21:16:09,W NURSERY RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2B1
2022378903,12/31/22,21:01:12,FURNACE BRANCH RD E,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C2
2022378685,12/31/22,13:23:53,10TH AVE/HARBOR VALLEY DR,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A3
2022378684,12/31/22,13:22:56,BROADVIEW BLVD N,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746641,2B2
2022378490,12/31/22,8:49:51,MARLEY NECK RD/BALTIMORE ANNAPOLIS BLVD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,2D3
2022378463,12/31/22,5:56:58,Potee St/W Jeffrey St,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,BAC
2022378459,12/31/22,5:41:08,DAVIDSONVILLE RD/GERSTANHAL RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746611,5D1
2022378383,12/31/22,2:10:18,NATURE WALK LN,122C07 - OVERDOSE,X - NO REPORT,,2D3
2022378254,12/30/22,22:32:58,BALTIMORE ANNAPOLIS BLVD,122C07 - OVERDOSE,X - NO REPORT,,2B3
2022378239,12/30/22,22:13:42,RITCHIE HWY,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2C1
2022378210,12/30/22,21:26:39,RITCHIE HWY/WB I695,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,2A2
2022378140,12/30/22,19:21:52,ADMIRAL DR/OLD ADMIRAL CT,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022378045,12/30/22,17:32:18,WEST ST,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,4A1
2022378026,12/30/22,17:11:02,SUMMIT RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3A1
2022378016,12/30/22,17:02:09,DORSEY RD/SHIPLEY AVE,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5A3
2022377950,12/30/22,15:50:13,JONES STATION RD/BECKETT CT,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,3D1
2022377921,12/30/22,15:24:03,WAUGH CHAPEL RD/NEW MARKET LN,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,5C3
2022377894,12/30/22,15:03:40,NB RT295 ONR EB LAUREL FT MEAD/LAUREL FORT MEADE RD,122C05 - INJURED SICK SUBJECT,00 - VOID INCIDENT ENTRY 3,,5A1
2022377653,12/30/22,9:47:34,MOUNTAIN RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3C1
2022377372,12/30/22,0:22:10,DAVIDSONVILLE RD,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746477,4B1
2022377251,12/29/22,21:20:47,MARGATE DR,122C05 - INJURED SICK SUBJECT,R - WITH REPORT,2022-746457,2C2
2022377196,12/29/22,20:04:30,MONTROSE RD,122C05 - INJURED SICK SUBJECT,X - NO REPORT,,3A1
