Grantor,Grantee,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Commerce/Maryland Tourism Board,PRINCE GEORGES COUNTY CVB,20772,2017,128041,Maryland Tourism Board Grant,Grant,1,06/30/2017 12:00:00 AM
Department of Health & Mental Hygiene/Prevention and Disease Control,Associated Black Charities,21201,2010,93427,Minority Outreach,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/EARLY CHILDHOOD EDUCATION,WESTED/PUBLICATIONS,94107-1242,2014,1614541,GRANTS FOR STATE ASSESSMENTS,Grant,1,06/30/2014 12:00:00 AM
Department of Health & Mental Hygiene/Family Health Services & Primary Care,Maryland Patient Safety Center,21075,2010,213800,Babies Born Healthy,Grant,1,06/30/2010 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Anacostia Watershed Society,20710,2017,174318,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2017 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Washington County Museum of Fine Arts,21740,2009,55913,grant funding for the support of the County Arts Councils,Grant,1,06/30/2009 12:00:00 AM
Boards and Commissions/Domestic Violence Crisis & Support Services,"Domestic Violence Center of Howard County, Inc.",21045,2014,172082.4,Domestic Violence Prevention,Grant,1,06/30/2014 12:00:00 AM
MD Small Business Development Financing Authority,Dacore Investment Group,20601,2018,103978.94,Maryland Small Business Development Financing Authority (MSBDFA) - Equity Participation Investment Program,Loan,1,06/30/2018 12:00:00 AM
Maryland Higher Education Commission - Aid to Non Public Institutions,Mount St Marys University,21727,2015,1754630,Sellinger Formula Aid,Grant,1,06/30/2015 12:00:00 AM
Department of Business & Economic Development/Maryland State Arts Council,Olney Theatre Center for the Arts,20830,2010,216007,"Grant funding for Arts Organizations, ARRA grant",Grant,1,06/30/2010 12:00:00 AM
Department Of Business and Economic Development/Maryland Industrial Development Financing Authority - MIDFA-,BRANCH BANKING & TRUST,20814,2012,2000000,"Maryland Industrial Development Financing Authority - MIDFA, Loan Guarantee",Loan,1,06/30/2012 12:00:00 AM
Department of Business and Economic Development - Maryland State Arts Council,Charles County Arts Alliance Inc,20695 - 0697,2015,96696,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2015 12:00:00 AM
