Cohort Year,Local School System,School,High School Graduates,Enrollment,% of High School Graduates Enrolled,College Degree by 25,% of Enrollees with College Degree by 25,No College Degree by 25,% of Enrollees with No College Degree by 25, Median Quarterly Wages at 25 for High School Grads , Median Quarterly Wages at 25 for College Enrollees , Median Quarterly Wages at 25 with a College Degree , Median Quarterly Wages at 25 with No College Degree , Living Wage LLS/ County ,,,,,,,,
2007-08,Allegany,ALLEGANY COUNTY EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,261 ",,,,,,,,
2008-09,Allegany,ALLEGANY COUNTY EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,314 ",,,,,,,,
2009-10,Allegany,ALLEGANY COUNTY EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,464 ",,,,,,,,
2010-11,Allegany,ALLEGANY COUNTY EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,617 ",,,,,,,,
2011-12,Allegany,ALLEGANY COUNTY EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,740 ",,,,,,,,
2012-13,Allegany,ALLEGANY COUNTY EVENING HIGH SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,844 ",,,,,,,,
2007-08,Allegany,ALLEGANY COUNTY HOME & HOSPITAL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,261 ",,,,,,,,
2009-10,Allegany,ALLEGANY COUNTY HOME & HOSPITAL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,464 ",,,,,,,,
2011-12,Allegany,ALLEGANY COUNTY HOME & HOSPITAL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,740 ",,,,,,,,
2012-13,Allegany,ALLEGANY COUNTY HOME & HOSPITAL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,844 ",,,,,,,,
2007-08,Allegany,ALLEGANY HIGH,210,55,26%,41,75%,14,26%," $5,830 "," $6,984 "," $8,120 ", * ," $6,261 ",,,,,,,,
2008-09,Allegany,ALLEGANY HIGH,189,108,57%,63,58%,45,42%," $5,694 "," $5,900 "," $8,413 "," $5,098 "," $6,314 ",,,,,,,,
2009-10,Allegany,ALLEGANY HIGH,215,109,51%,67,62%,42,39%," $6,568 "," $7,492 "," $8,937 "," $5,623 "," $6,464 ",,,,,,,,
2010-11,Allegany,ALLEGANY HIGH,215,100,47%,65,65%,35,35%," $6,863 "," $9,144 "," $12,062 "," $4,990 "," $6,617 ",,,,,,,,
2011-12,Allegany,ALLEGANY HIGH,142,83,59%,61,74%,22,27%," $7,768 "," $7,940 "," $9,319 "," $5,034 "," $6,740 ",,,,,,,,
2012-13,Allegany,ALLEGANY HIGH,149,70,47%,45,64%,25,36%," $7,059 "," $7,059 "," $7,772 ", * ," $6,844 ",,,,,,,,
2013-14,Allegany,ALLEGANY HIGH,164,97,59%,66,68%,31,32%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Allegany,ALLEGANY HIGH,144,68,47%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Allegany,ALLEGANY HIGH,137,82,60%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Allegany,ALLEGANY HIGH,128,80,63%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Allegany,ALLEGANY HIGH,172,100,58%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Allegany,ALLEGANY HIGH,148,84,57%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Allegany,ALLEGANY HIGH,169,92,54%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2010-11,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,617 ",,,,,,,,
2011-12,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,155,36,23%,11,31%,25,69%," $7,070 "," $6,105 ", * ," $4,680 "," $6,740 ",,,,,,,,
2012-13,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,134,26,19%,^^,^^,*,*," $7,077 "," $7,163 "," $5,341 ", * ," $6,844 ",,,,,,,,
2013-14,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,150,33,22%,11,33%,22,67%, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2014-15,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,137,29,21%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2015-16,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,144,36,25%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2016-17,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,126,37,29%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2017-18,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,117,28,24%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2018-19,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,121,33,27%,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2019-20,Allegany,CENTER FOR CAREER & TECHNOLOGY EDUCATION,75,*,*,^,^,^,^, ^ , ^ , ^ , ^ , ^ ,,,,,,,,
2009-10,Allegany,ECKHART ALTERNATIVE SCHOOL,^^,^^,^^,^^,^^,^^,^^, ^^ , ^^ , ^^ , ^^ ," $6,464 ",,,,,,,,
