cohort_year,local_school_system,school,high_school_graduates,enrollment,percent_of_high_school_graduates_enrolled
2019-20,Allegany,ALLEGANY HIGH,169,92,54
2019-20,Allegany,FORT HILL HIGH,136,63,46
2019-20,Allegany,MOUNTAIN RIDGE HIGH SCHOOL,157,94,60
2019-20,Anne Arundel,ANNAPOLIS HIGH,457,193,42
2019-20,Anne Arundel,ARUNDEL SR. HIGH,534,259,49
2019-20,Anne Arundel,BROADNECK SENIOR HIGH,516,289,56
2019-20,Anne Arundel,CHESAPEAKE HIGH,325,97,30
2019-20,Anne Arundel,CHESAPEAKE SCIENCE POINT,50,28,56
2019-20,Anne Arundel,GLEN BURNIE SENIOR,417,118,28
2019-20,Anne Arundel,MEADE SENIOR HIGH,419,164,39
2019-20,Anne Arundel,NORTH COUNTY HIGH,504,170,34
2019-20,Anne Arundel,NORTHEAST SR HIGH,328,105,32
2019-20,Anne Arundel,OLD MILL SENIOR HIGH,524,239,46
2019-20,Anne Arundel,SEVERNA PARK SR HIGH,434,275,63
2019-20,Anne Arundel,SOUTH RIVER SENIOR,520,308,59
2019-20,Anne Arundel,SOUTHERN SENIOR HIGH,238,95,40
2019-20,Baltimore City,ACADEMY FOR COLLEGE AND CAREER EXPLORATION,70,12,17
2019-20,Baltimore City,BALTIMORE CITY COLLEGE,295,218,74
2019-20,Baltimore City,BALTIMORE DESIGN SCHOOL,73,48,66
2019-20,Baltimore City,BALTIMORE LEADERSHIP SCHOOL FOR YOUNG WOMEN,50,36,72
2019-20,Baltimore City,BALTIMORE POLYTECHNIC INSTITUTE,369,266,72
2019-20,Baltimore City,BALTIMORE SCHOOL FOR THE ARTS,96,60,63
2019-20,Baltimore City,BARD HIGH SCHOOL EARLY COLLEGE,105,56,53
2019-20,Baltimore City,CARVER VOCATIONAL-TECHNICAL HIGH,143,37,26
2019-20,Baltimore City,CITY NEIGHBORS HIGH SCHOOL,89,21,24
2019-20,Baltimore City,COPPIN ACADEMY,74,19,26
2019-20,Baltimore City,DIGITAL HARBOR HIGH SCHOOL,195,31,16
2019-20,Baltimore City,EDMONDSON-WESTSIDE HIGH,177,31,18
2019-20,Baltimore City,FOREST PARK HIGH,150,32,21
2019-20,Baltimore City,FREDERICK DOUGLASS HIGH,137,16,12
2019-20,Baltimore City,GREEN STREET ACADEMY,106,38,36
2019-20,Baltimore City,MASONVILLE COVE COMMUNITY ACADEMY,84,18,21
2019-20,Baltimore City,MERGENTHALER VOCATIONAL-TECHNICAL HIGH,338,96,28
2019-20,Baltimore City,"NATIONAL ACADEMY FOUNDATION",103,19,18
2019-20,Baltimore City,PATTERSON HIGH,205,25,12
2019-20,Baltimore City,PAUL LAURENCE DUNBAR HIGH,141,54,38
2019-20,Baltimore City,REGINALD F. LEWIS HIGH SCHOOL,92,18,20
2019-20,Baltimore City,THE REACH! PARTNERSHIP SCHOOL,117,21,18
2019-20,Baltimore City,THE SEED SCHOOL OF MARYLAND,28,18,64
2019-20,Baltimore City,VIVIEN T. THOMAS MEDICAL ARTS ACADEMY,63,18,29
2019-20,Baltimore City,WESTERN HIGH,209,131,63
2019-20,Baltimore County,CATONSVILLE HIGH,413,201,49
2019-20,Baltimore County,CHESAPEAKE HIGH,223,57,26
2019-20,Baltimore County,DULANEY HIGH,458,283,62
2019-20,Baltimore County,DUNDALK HIGH,374,80,21
2019-20,Baltimore County,EASTERN TECHNICAL HIGH SCHOOL,264,213,81
2019-20,Baltimore County,FRANKLIN HIGH,395,207,52
2019-20,Baltimore County,GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,217,147,68
2019-20,Baltimore County,HEREFORD HIGH,335,224,67
2019-20,Baltimore County,KENWOOD HIGH IB AND SPORTS SCIENCE,373,81,22
2019-20,Baltimore County,LANSDOWNE HIGH & ACADEMY OF FINANCE,314,79,25
2019-20,Baltimore County,LOCH RAVEN HIGH,217,104,48
2019-20,Baltimore County,MILFORD MILL ACADEMY,263,80,30
2019-20,Baltimore County,NEW TOWN HIGH,269,113,42
2019-20,Baltimore County,OVERLEA HIGH & ACADEMY OF FINANCE,190,39,21
2019-20,Baltimore County,OWINGS MILLS HIGH,261,84,32
2019-20,Baltimore County,PARKVILLE HIGH & CENTER FOR MATH/SCIENCE,416,149,36
2019-20,Baltimore County,PATAPSCO HIGH & CENTER FOR ARTS,319,105,33
2019-20,Baltimore County,PERRY HALL HIGH,478,232,49
2019-20,Baltimore County,PIKESVILLE HIGH,215,99,46
2019-20,Baltimore County,RANDALLSTOWN HIGH,238,84,35
2019-20,Baltimore County,SPARROWS POINT HIGH,238,97,41
2019-20,Baltimore County,TOWSON HIGH LAW & PUBLIC POLICY,361,257,71
2019-20,Baltimore County,WESTERN SCHOOL OF TECHNOLOGY & ENV. SCIENCE,204,149,73
2019-20,Baltimore County,WOODLAWN HIGH CENTER FOR PRE-ENG. RES.,360,76,21
2019-20,Calvert,CALVERT HIGH,310,139,45
2019-20,Calvert,HUNTINGTOWN HIGH SCHOOL,359,189,53
2019-20,Calvert,NORTHERN HIGH,346,190,55
2019-20,Calvert,PATUXENT HIGH,262,93,36
2019-20,Caroline,COLONEL RICHARDSON HIGH SCHOOL,111,42,38
2019-20,Caroline,NORTH CAROLINE HIGH SCHOOL,253,88,35
2019-20,Carroll,CENTURY HIGH,277,178,64
2019-20,Carroll,FRANCIS SCOTT KEY SR. HIGH,258,104,40
2019-20,Carroll,LIBERTY HIGH,270,192,71
2019-20,Carroll,MANCHESTER VALLEY HIGH,322,156,48
2019-20,Carroll,SOUTH CARROLL SR. HIGH,261,152,58
2019-20,Carroll,WESTMINSTER SENIOR HIGH,343,199,58
2019-20,Carroll,WINTERS MILL HIGH,240,112,47
2019-20,Cecil,BOHEMIA MANOR HIGH,152,69,45
2019-20,Cecil,ELKTON HIGH,216,86,40
2019-20,Cecil,NORTH EAST HIGH,228,90,40
2019-20,Cecil,PERRYVILLE HIGH,190,70,37
2019-20,Cecil,RISING SUN HIGH,270,127,47
2019-20,Charles,HENRY E. LACKEY HIGH SCHOOL,242,72,30
2019-20,Charles,LA PLATA HIGH SCHOOL,285,139,49
2019-20,Charles,MAURICE J. MCDONOUGH HIGH SCHOOL,193,93,48
2019-20,Charles,NORTH POINT HIGH SCHOOL,427,243,57
2019-20,Charles,ST. CHARLES HIGH SCHOOL,360,136,38
2019-20,Charles,THOMAS STONE HIGH SCHOOL,270,90,33
2019-20,Charles,WESTLAKE HIGH SCHOOL,288,119,41
2019-20,Dorchester,CAMBRIDGE-SOUTH DORCHESTER HIGH SCHOOL,145,47,32
2019-20,Dorchester,NORTH DORCHESTER HIGH SCHOOL,94,24,26
2019-20,Frederick,BRUNSWICK HIGH,175,93,53
2019-20,Frederick,CATOCTIN HIGH,176,69,39
2019-20,Frederick,FREDERICK HIGH,358,164,46
2019-20,Frederick,GOV. THOMAS JOHNSON HIGH,415,152,37
2019-20,Frederick,LINGANORE HIGH,311,179,58
2019-20,Frederick,MIDDLETOWN HIGH,260,162,62
2019-20,Frederick,OAKDALE HIGH SCHOOL,312,205,66
2019-20,Frederick,TUSCARORA HIGH,365,190,52
2019-20,Frederick,URBANA HIGH,436,326,75
2019-20,Frederick,WALKERSVILLE HIGH,270,146,54
2019-20,Garrett,NORTHERN GARRETT HIGH SCHOOL,91,31,34
2019-20,Garrett,SOUTHERN GARRETT HIGH SCHOOL,165,69,42
2019-20,Harford,ABERDEEN HIGH,336,147,44
2019-20,Harford,BEL AIR HIGH,374,225,60
2019-20,Harford,C. MILTON WRIGHT HIGH,356,225,63
2019-20,Harford,EDGEWOOD HIGH,314,128,41
2019-20,Harford,FALLSTON HIGH,245,159,65
2019-20,Harford,HARFORD TECHNICAL HIGH,233,129,55
2019-20,Harford,HAVRE DE GRACE HIGH,148,62,42
2019-20,Harford,JOPPATOWNE HIGH,154,60,39
2019-20,Harford,NORTH HARFORD HIGH,291,142,49
